SPECIES,SEX,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,male,Luzon,51.4,21.6,9.9,5.3,4.8,6.7,5.4,17.1,11.3,27.7,30.5,17.9,28.1,17.2,7.8,1.8,3.4
luzonensis,male,Luzon,54.5,20.7,8.8,5.5,5.2,7.2,4.3,16.6,11,25.8,30,17.3,28.2,17,7.5,1.9,3.1
luzonensis,male,Luzon,50.5,21.7,9.6,5.6,5.3,7.8,4.3,18.4,11.5,29,32.6,18.6,30.1,18.9,8.5,2.1,3.4
luzonensis,male,Luzon,46.6,19,8,4,4.5,7.1,4.2,15.9,9.4,24.5,26.7,15.3,24.8,14.9,7,1.9,3
luzonensis,male,Luzon,46.9,19,8.1,4.5,4.7,6.3,4.1,15.8,10.1,25,27.8,16.1,24.6,15.4,7.3,1.6,2.2
luzonensis,male,Luzon,48,19,8,4.8,4.4,5.9,4.1,15.7,9.2,25.7,28.1,15.5,25,15.8,7.1,1.8,2.7
luzonensis,male,Luzon,52.2,21.5,9.7,4.4,4.7,7.6,4.8,16.9,12.1,26.5,29.3,17.2,28.2,17,8,1.9,3.2
luzonensis,male,Luzon,57.7,22.2,10.5,5.4,4.5,8,4.7,16.9,11.1,29.4,31.1,17.5,28.5,17.5,7.7,1.8,3.1
luzonensis,male,Luzon,52.1,21.3,10,5.4,4.7,7.1,4.8,17.3,11.7,28.1,31.6,18.2,28.3,17.7,7.9,1.7,3.1
luzonensis,male,Luzon,53.9,22.1,10.1,5.5,4.8,7.2,4.7,17.6,12,28.7,32.6,17.9,22.9,18.7,8.1,2,2.6
luzonensis,male,Luzon,49.3,21,9.2,4.9,4.9,7,5,16.3,10.3,27.9,31.3,18,26.8,17,7.3,2,3.3
luzonensis,male,Luzon,49.6,18,8.3,4.5,4,5.8,4.5,15,10.1,25.7,26.9,15.4,24.3,16,6.5,1.8,2.9
luzonensis,male,Luzon,47.9,18.9,8.5,4,4.1,6.3,4.8,15.2,9.8,25,27.6,15.4,24.6,14.9,7.7,1.6,2.9
luzonensis,male,Luzon,44,19.1,8.7,4,4.1,6.2,4.2,15.1,9.6,25.3,27.1,16,23.8,15.2,7,1.6,2.7
luzonensis,male,Luzon,47.6,20,9,4.3,4.4,7.1,4.7,15.9,10.3,24.9,27.6,15.8,24.1,15.9,7.1,1.8,3
luzonensis,male,Luzon,46.7,18,8.2,4.2,4,6,4.4,15.2,9.3,25.6,27.7,15.2,25.1,15.1,6.9,1.4,2.6
luzonensis,male,Luzon,43.4,18.1,8.2,4.4,3.9,6.8,4.4,14.7,8.8,23.9,25.7,15,22.6,14.9,6.4,1.4,2.7
luzonensis,male,Luzon,44.5,18,8.3,4.1,4,5.5,4.4,14.6,9.1,23.8,26.4,14.8,23,15.2,6.8,1.5,2.4
luzonensis,male,Luzon,43.4,17.8,8.4,4.1,4.3,6.2,4,14.1,9.1,22.6,25.1,14,23.1,14.1,6.7,1.7,2
luzonensis,male,Luzon,50,20.1,8.9,4.9,4.6,7.2,5.2,16.1,10.5,27.4,29.9,17.2,26.3,16.8,7.1,1.9,2.7
luzonensis,male,Luzon,63.1,23.8,11.3,5.5,5.7,6.8,5.4,19.1,12.5,31.9,34.9,19.8,32.7,19.8,9.3,2.3,4.2
luzonensis,male,Luzon,51.6,20.6,9.3,4.1,4.2,6.8,5.2,15.5,9.2,25.1,28.5,15.9,25.4,17.1,6.9,1.7,3.3
luzonensis,male,Luzon,61.3,23.9,10.9,5.5,5.6,7.1,5,20,11.9,32.5,34.9,19.9,33.2,20.4,9.4,2.3,3.9
luzonensis,male,Luzon,48.3,19,9.2,4.9,4.3,6.1,4.3,15.6,10.2,25.6,28.7,16.8,27.3,16.3,7.2,1.6,2.9
luzonensis,male,Luzon,56.8,21.2,9.5,5.3,5.9,6.5,4.6,17.7,11.3,30.4,33.2,19.6,31.8,19.9,8.8,2,3.6
luzonensis,male,Luzon,67.1,24.5,11.6,5.9,5.8,7.2,5.6,21.1,13.9,33.8,37,20.9,34.9,21.3,9.9,2.5,4.3
luzonensis,male,Luzon,59.3,22.5,10.3,5.5,5.4,6.4,4.8,18.3,11.8,31.2,33.2,18.9,30.6,19,9.2,2.2,3.7
luzonensis,male,Luzon,66.8,24.8,11.8,6.9,5.5,7.7,5,21.3,14.1,34,37.6,21.3,34.2,22,10.3,2.2,3.8
luzonensis,male,Luzon,53.3,20.8,9.5,5.1,4.9,6.4,4.9,16.9,10.6,28.6,31.1,18.9,29.7,16.2,7.9,2.2,3.2
luzonensis,male,Luzon,60.1,21.7,10.6,5.7,5.4,5.6,4.4,19.1,12.5,31.6,34.5,19.7,31.6,19.5,8.9,2.1,3.3
luzonensis,male,Luzon,62.2,23.5,10.7,5.8,5.2,6.6,5.3,19.6,13.2,32.8,36.1,20.5,31.8,19.6,10,2.6,3.6
luzonensis,male,Luzon,59.5,22.6,10.4,5,5.1,7.3,4.7,18.9,11.9,30.8,33.5,19.9,31.1,18.6,9.4,1.9,3.8
igorota ,male,Luzon,51.72,19.17,7.93,4.63,5.91,6.6,4.3,16.57,11.07,26.7,29.7,16.15,25.61,14.93,7.7,1.8,2.67
igorata ,male,Luzon,58.31,21.53,8.78,5.1,6.45,7.18,5.38,17.29,11.51,28.29,31.5,16.54,25.56,16.91,7.3,1.62,3.34
igorata,male,Luzon,53.9,20.4,8,4.5,5.1,7.5,4.1,17.5,11.3,28.4,30.2,17.5,27.7,16.9,7.5,2.1,3.4
igorata,male,Luzon,50.2,19.6,8.5,4.6,5.1,6.1,3.3,17.3,10.1,26.3,29.6,16.1,26.7,16.8,7.3,2,2.9
igorata,male,Luzon,52.6,19.6,8.9,5,5.1,6.2,3,17.8,11.8,29.2,32,18,28.2,17.9,8.5,2.1,3.3
igorata,male,Luzon,54.2,19.8,8.7,5,5.2,6.6,3.7,17.5,12,29.3,30.8,18.5,28.5,18.2,8.7,2.1,3.4
